,number,value,datetime_start,datetime_complete,params_activation,params_dropout_prob1,params_dropout_prob2,params_lr,params_optimizer,params_weight_decay,state
0,0,0.013499999999999956,2020-04-12 16:14:23.392500,2020-04-12 16:15:00.537242,elu,0.513239466993342,0.6128647874641012,0.00012886636270863388,adam,1.0049447947240387e-08,COMPLETE
1,1,0.015800000000000036,2020-04-12 16:15:00.537853,2020-04-12 16:15:36.357155,elu,0.23310932874315826,0.8635145253834485,0.013918353156639356,momentum,0.00011851575196404795,COMPLETE
2,2,0.8991,2020-04-12 16:15:36.357834,2020-04-12 16:16:12.142427,elu,0.4581938827488531,0.69273564016842,0.01230081043431381,adam,0.0008990441060994493,COMPLETE
3,3,0.026599999999999957,2020-04-12 16:16:12.143218,2020-04-12 16:16:47.905283,elu,0.10874871029817755,0.5794871169716876,0.0006020060576444162,momentum,6.393924416779012e-09,COMPLETE
4,4,0.8991,2020-04-12 16:16:47.906165,2020-04-12 16:17:23.769273,elu,0.6770169600007051,0.5241775625355113,0.08146156932145904,adam,2.5534728798634738e-08,COMPLETE
5,5,0.21609999999999996,2020-04-12 16:17:23.770189,2020-04-12 16:17:30.975027,elu,0.39083692107128787,0.546191566157585,6.237734025073148e-05,momentum,1.1037564307757061e-07,PRUNED
6,6,0.01880000000000004,2020-04-12 16:17:30.999492,2020-04-12 16:18:06.883692,elu,0.814833996716921,0.38367525213175324,6.988058156358694e-05,adam,1.1825271602729695e-08,COMPLETE
7,7,0.012499999999999956,2020-04-12 16:18:06.884748,2020-04-12 16:18:42.621023,elu,0.4150721633537221,0.2492736716875247,5.694958128200026e-05,adam,1.0561701117396222e-07,COMPLETE
8,8,0.014499999999999957,2020-04-12 16:18:42.622146,2020-04-12 16:19:18.442612,elu,0.5703130624078367,0.1500756612671455,0.002114936852791028,adam,4.808496029308632e-10,COMPLETE
9,9,0.1352,2020-04-12 16:19:18.443833,2020-04-12 16:19:25.632706,relu,0.8835034892208712,0.2752327552553634,0.015759481435856124,adam,2.2824930757537894e-07,PRUNED
10,10,0.09819999999999995,2020-04-12 16:19:25.657156,2020-04-12 16:19:32.824955,relu,0.29034124873266387,0.11022902279964025,1.1034133708025954e-05,adam,9.476687627811195e-06,PRUNED
11,11,0.05120000000000002,2020-04-12 16:19:32.850410,2020-04-12 16:19:40.051360,elu,0.5980753951340414,0.7533036637375216,9.446911744298583e-05,adam,1.0850831189981801e-10,PRUNED
12,12,0.09260000000000002,2020-04-12 16:19:40.075979,2020-04-12 16:19:47.321903,elu,0.36976205471263823,0.353762563052499,1.243157271580574e-05,adam,2.9405249937530593e-06,PRUNED
13,13,0.011900000000000022,2020-04-12 16:19:47.346305,2020-04-12 16:20:23.260789,relu,0.5084419735181228,0.6835109619711841,0.000366468038011983,adam,9.97076710449675e-10,COMPLETE
14,14,0.024599999999999955,2020-04-12 16:20:23.262349,2020-04-12 16:20:37.633381,relu,0.703821939271642,0.8648497377879265,0.0003956587816901283,adam,7.362221885375135e-10,PRUNED
15,15,0.008199999999999985,2020-04-12 16:20:37.658036,2020-04-12 16:21:13.679825,relu,0.22225174249855176,0.22631608503891398,0.0015804276025997927,adam,2.2003048376327302e-06,COMPLETE
16,16,0.009299999999999975,2020-04-12 16:21:13.681552,2020-04-12 16:21:49.382150,relu,0.1130997085044238,0.4398043219527783,0.002879353435339472,adam,2.591752793749604e-06,COMPLETE
17,17,0.0373,2020-04-12 16:21:49.383952,2020-04-12 16:21:56.525206,relu,0.10826826160069393,0.4321072884721116,0.0027043799043057026,momentum,6.5149321533557785e-06,PRUNED
18,18,0.0121,2020-04-12 16:21:56.550676,2020-04-12 16:22:32.494278,relu,0.1974667710442531,0.23991489697848017,0.004743433928774275,adam,2.0316460068494482e-06,COMPLETE
19,19,0.8968,2020-04-12 16:22:32.496237,2020-04-12 16:22:39.701777,relu,0.17235501050001859,0.4485116649762756,0.08698789752996945,adam,5.89480686106216e-05,PRUNED
20,20,0.05669999999999997,2020-04-12 16:22:39.727240,2020-04-12 16:22:46.995322,relu,0.29762420699229786,0.19053284654098235,0.001294074374461277,momentum,2.240418243412797e-05,PRUNED
21,21,0.010700000000000043,2020-04-12 16:22:47.020832,2020-04-12 16:23:22.827041,relu,0.11445053186075226,0.6881740939904147,0.00034745797543157776,adam,7.199714898912652e-07,COMPLETE
22,22,0.024800000000000044,2020-04-12 16:23:22.829308,2020-04-12 16:23:30.031836,relu,0.10440435395757952,0.7874335222874059,0.004819458643205385,adam,7.33800510484879e-07,PRUNED
23,23,0.008900000000000019,2020-04-12 16:23:30.056657,2020-04-12 16:24:05.874778,relu,0.17307192105543842,0.32052485977912404,0.0009669154713135324,adam,7.760322298951095e-07,COMPLETE
24,24,0.008499999999999952,2020-04-12 16:24:05.877117,2020-04-12 16:24:41.670445,relu,0.2820995203878679,0.33461680614558387,0.0007962865847786523,adam,1.1753672290729853e-06,COMPLETE
25,25,0.009299999999999975,2020-04-12 16:24:41.672928,2020-04-12 16:25:17.598016,relu,0.2955578065964033,0.3255502625071469,0.0007916903671981229,adam,5.159179976650042e-07,COMPLETE
26,26,0.010499999999999954,2020-04-12 16:25:17.600466,2020-04-12 16:25:53.511703,relu,0.2399292130338402,0.31466314385836985,0.0002240679816011139,adam,0.00020626581501219027,COMPLETE
27,27,0.008499999999999952,2020-04-12 16:25:53.514213,2020-04-12 16:26:29.229083,relu,0.33820197805203084,0.18837718209787263,0.0012894420652275085,adam,4.2371572964629846e-08,COMPLETE
28,28,0.011299999999999977,2020-04-12 16:26:29.231790,2020-04-12 16:27:05.097809,relu,0.3402828460402373,0.2012829031968677,0.0067789409225206656,adam,3.85543918168927e-08,COMPLETE
29,29,0.02180000000000004,2020-04-12 16:27:05.100580,2020-04-12 16:27:12.274753,relu,0.43615288104184075,0.10139101683621504,0.00014929221446579447,adam,4.187062529852149e-09,PRUNED
30,30,0.010199999999999987,2020-04-12 16:27:12.301884,2020-04-12 16:27:47.784756,relu,0.3313940219093346,0.1795871061834807,0.0015317260723859865,adam,1.5349650539837642e-07,COMPLETE
31,31,0.008299999999999974,2020-04-12 16:27:47.787601,2020-04-12 16:28:23.554076,relu,0.16703732343798697,0.2893558886584659,0.0009789457996821655,adam,1.3746071526122336e-06,COMPLETE
32,32,0.009000000000000008,2020-04-12 16:28:23.556975,2020-04-12 16:28:58.988621,relu,0.22212804561168745,0.2661852460399337,0.000806058383263245,adam,2.9535780201429342e-05,COMPLETE
33,33,0.00880000000000003,2020-04-12 16:28:58.991643,2020-04-12 16:29:34.511745,relu,0.2580807637948672,0.14197788457221835,0.0005832400381779965,adam,1.6491763168378853e-06,COMPLETE
34,34,0.8865,2020-04-12 16:29:34.514785,2020-04-12 16:29:41.616346,relu,0.15735516648806638,0.38793159006917977,0.02352749477713482,adam,4.5802176232893924e-08,PRUNED
35,35,0.05010000000000003,2020-04-12 16:29:41.643218,2020-04-12 16:29:48.801381,relu,0.47040301469478796,0.22375031568601328,0.0018026050444444688,momentum,9.284283714220972e-06,PRUNED
36,36,0.021499999999999964,2020-04-12 16:29:48.827243,2020-04-12 16:29:55.926395,relu,0.3412646241051119,0.29174990640537746,0.00019286299990331731,adam,3.0693336239000444e-07,PRUNED
37,37,0.025800000000000045,2020-04-12 16:29:55.952069,2020-04-12 16:30:03.063495,relu,0.25991387752292316,0.4948775061286511,0.007486078887138809,adam,4.953102844133321e-06,PRUNED
38,38,0.09050000000000002,2020-04-12 16:30:03.089527,2020-04-12 16:30:10.185426,relu,0.20853312467460317,0.37352760219368775,0.0006031734718097669,momentum,1.7003576499547572e-08,PRUNED
39,39,0.012700000000000045,2020-04-12 16:30:10.211644,2020-04-12 16:30:45.679591,relu,0.14883783467870546,0.14011368217724623,0.003996784165606214,adam,9.568785036770093e-08,COMPLETE
40,40,0.011800000000000033,2020-04-12 16:30:45.683153,2020-04-12 16:31:03.451585,relu,0.388557688151645,0.23063646220955744,0.0012519887982526403,adam,0.00028891235238686123,PRUNED
41,41,0.009499999999999953,2020-04-12 16:31:03.483521,2020-04-12 16:31:40.012255,relu,0.26642429304621296,0.14709149945475158,0.000529500079760084,adam,1.425204925488098e-06,COMPLETE
42,42,0.012499999999999956,2020-04-12 16:31:40.016466,2020-04-12 16:31:54.560758,relu,0.24857159919375718,0.11288796058031879,0.002107877142361763,adam,1.4683690382488857e-06,PRUNED
43,43,0.009499999999999953,2020-04-12 16:31:54.587978,2020-04-12 16:32:30.508929,relu,0.30318512634684724,0.17891392871599693,0.0006158085587931221,adam,1.4481881409930825e-05,COMPLETE
44,44,0.020000000000000018,2020-04-12 16:32:30.513142,2020-04-12 16:32:37.677997,relu,0.20148754159653692,0.2587297797655478,0.00023938391555321513,adam,3.6077376777266645e-06,PRUNED
45,45,0.05910000000000004,2020-04-12 16:32:37.705422,2020-04-12 16:32:44.974111,relu,0.3634469847970469,0.2144429082790283,3.94894304015626e-05,adam,3.607898180655698e-07,PRUNED
46,46,0.008099999999999996,2020-04-12 16:32:45.002971,2020-04-12 16:33:20.840471,relu,0.4096638260287141,0.1417347632687466,0.0009063284230492407,adam,4.212425546253184e-09,COMPLETE
47,47,0.015900000000000025,2020-04-12 16:33:20.844489,2020-04-12 16:33:28.046791,elu,0.4068902306084453,0.3563232781191189,0.0011006689958540626,adam,2.557647232716807e-09,PRUNED
48,48,0.017299999999999982,2020-04-12 16:33:28.074338,2020-04-12 16:33:35.275449,relu,0.4508544288237087,0.286507353189732,0.0003279050153804243,adam,1.8863684452725347e-10,PRUNED
49,49,0.015100000000000002,2020-04-12 16:33:35.303406,2020-04-12 16:33:42.444652,relu,0.5475110436879005,0.4062520413491204,0.00337348432308892,adam,5.843059743363537e-09,PRUNED
50,50,0.019499999999999962,2020-04-12 16:33:42.472895,2020-04-12 16:33:49.678437,elu,0.47181258851769026,0.6049916825963779,0.00199218340883976,adam,1.8163687432940453e-09,PRUNED
51,51,0.010600000000000054,2020-04-12 16:33:49.707763,2020-04-12 16:34:07.659433,relu,0.3278976313052589,0.15700503052184392,0.0005015007736964216,adam,1.4258281218865244e-06,PRUNED
52,52,0.010800000000000032,2020-04-12 16:34:07.687498,2020-04-12 16:34:43.588279,relu,0.2726880228422064,0.11742588853203595,0.0009687124465785779,adam,5.0979117081451155e-08,COMPLETE
53,53,0.014700000000000046,2020-04-12 16:34:43.592750,2020-04-12 16:34:50.765374,relu,0.38008653874581405,0.17143221575335973,0.0007117373621449831,adam,1.7433581863366395e-07,PRUNED
54,54,0.008700000000000041,2020-04-12 16:34:50.793961,2020-04-12 16:35:26.654237,relu,0.1470721303877075,0.13636527330376613,0.0015010797056322655,adam,1.2387804249224898e-08,COMPLETE
55,55,0.010199999999999987,2020-04-12 16:35:26.658863,2020-04-12 16:36:02.601382,relu,0.1312915319177878,0.23997634476410842,0.0023407326826824274,adam,1.0326030176858071e-08,COMPLETE
56,56,0.02080000000000004,2020-04-12 16:36:02.606751,2020-04-12 16:36:09.823485,relu,0.18244298229443098,0.2084634618175647,0.007352231850174711,momentum,1.8520904154402225e-08,PRUNED
57,57,0.008099999999999996,2020-04-12 16:36:09.851792,2020-04-12 16:36:45.630521,relu,0.2345141494461635,0.30163759593994544,0.001443068115417227,adam,7.709312185085283e-08,COMPLETE
58,58,0.009099999999999997,2020-04-12 16:36:45.635315,2020-04-12 16:37:21.464898,relu,0.22066483374303372,0.30802208937143083,0.002744042551632013,adam,7.495412103701116e-08,COMPLETE
59,59,0.016700000000000048,2020-04-12 16:37:21.469775,2020-04-12 16:37:28.691466,relu,0.4190365382186033,0.34539744354443147,0.0004359906465886645,adam,2.7286631848014483e-08,PRUNED
60,60,0.013900000000000023,2020-04-12 16:37:28.720925,2020-04-12 16:37:35.882201,relu,0.3062283390015156,0.27513108043113677,0.0010784667858107153,adam,4.527134539119834e-07,PRUNED
61,61,0.008600000000000052,2020-04-12 16:37:35.910785,2020-04-12 16:38:11.844414,relu,0.1502179283822222,0.25489653435804654,0.0015276131775726293,adam,6.038667251492304e-09,COMPLETE
62,62,0.009199999999999986,2020-04-12 16:38:11.849705,2020-04-12 16:38:47.913141,relu,0.23342806042277026,0.2505532261022486,0.0015562770872706918,adam,1.8850320866745227e-09,COMPLETE
63,63,0.014000000000000012,2020-04-12 16:38:47.918292,2020-04-12 16:38:55.097955,relu,0.18481553193775926,0.34071998829675626,0.0008983918563321042,adam,6.850192359335305e-09,PRUNED
64,64,0.014700000000000046,2020-04-12 16:38:55.126363,2020-04-12 16:39:02.308549,relu,0.35315476392139944,0.29591605554865,0.00028776291064558417,adam,5.179710430612103e-10,PRUNED
65,65,0.016800000000000037,2020-04-12 16:39:02.337989,2020-04-12 16:39:09.562970,relu,0.302267393830043,0.48472801538394206,0.0050621016438912,adam,8.732180115567325e-07,PRUNED
66,66,0.014100000000000001,2020-04-12 16:39:09.591941,2020-04-12 16:39:20.370288,relu,0.28081793664371413,0.41196442832691205,0.0032968773552499797,adam,1.917053648224132e-07,PRUNED
